race_name,race_category,age_category,runner_name,time
Haramara,33K,20-34,Luis Arturo VALENZUELA GRIJALVA,04:06:18
Haramara,33K,20-34,Denisse SANCHEZ,04:06:22
Haramara,33K,20-34,Andres ORDONEZ,04:06:37
Haramara,33K,20-34,Nayeli DE LA TORRE,04:06:47
Haramara,33K,20-34,Yeni Paola MORALES PULIDO,04:15:14
Haramara,33K,35-39,Fernando Daniel GARCIA RODRIGUEZ,04:12:07
Haramara,33K,35-39,Orlando ORTIZ JIMÉNEZ,04:28:35
Haramara,33K,35-39,Alberto HERNANDEZ PEREZ,04:41:34
Haramara,33K,35-39,Adriana DEL MURO,04:47:53
Haramara,33K,35-39,Rubén RONQUILLO VILLEGAS,04:49:24
Haramara,33K,40-44,Ricardo CHAVARRIA,04:01:50
Haramara,33K,40-44,Brad BUXTON,04:18:28
Haramara,33K,40-44,Maria Del Rocio Rocio FLORES CARDENAS,04:34:48
Haramara,33K,40-44,Jorge Luis FIGUEROA DE LARA,04:44:56
Haramara,33K,40-44,Enrique Harry CRUZ,04:46:47
Haramara,33K,45-49,Oskar ROMERO,04:32:48
Haramara,33K,45-49,Aida Esmeralda SANTANA ZEPEDA,05:36:14
Haramara,33K,45-49,Luis Alejandro GOMEZ RUBIO,05:47:04
Haramara,33K,50-54,Trent MORROW,04:30:50
Haramara,33K,55-59,Hector TORRES,06:26:48
Haramara,33K,60-64,Meinrad WYSER,05:12:19
Haramara,33K,65-69,Jose Antonio PEREZ CASTILLO,07:57:44
Haramara,33K,U20,Maria LOPEZ,04:28:18
Nakawé,50K,20-34,Sara ALONSO,05:25:54
Nakawé,50K,20-34,David NORRIS,05:26:18
Nakawé,50K,20-34,Christopher LEVESQUE-SAVARD,05:40:23
Nakawé,50K,20-34,Roberto Carlos VARGAS VIDAURRI,05:45:05
Nakawé,50K,20-34,Diego ARNAUDA GONZALEZ,06:13:48
Nakawé,50K,20-34,Jose Luis LÓPEZ FLORES,06:19:03
Nakawé,50K,20-34,Jose Alfredo NERI RUIZ,06:22:09
Nakawé,50K,20-34,Giovanni PERFETTI SANTISTEBAN,06:25:33
Nakawé,50K,20-34,Phoebe CROSTHWAITE,06:30:02
Nakawé,50K,20-34,Jose Antonio BAUTICIA MORENO,06:43:04
Nakawé,50K,20-34,Juan Fernando CAMEY CORDON,06:59:16
Nakawé,50K,20-34,Oswaldo Damian MUÑOZ DIAZ,07:03:30
Nakawé,50K,20-34,Gustavo PICHARDO,07:06:48
Nakawé,50K,20-34,María Guadalupe FREGOSO NIEVES,07:09:20
Nakawé,50K,20-34,Victor CONTRERAS,07:10:22
Nakawé,50K,35-39,Juan Carlos CARERA CASAS,05:27:31
Nakawé,50K,35-39,Nicolas PALACIOS,05:29:44
Nakawé,50K,35-39,Javier JANEIRO CERDEIRA,06:06:51
Nakawé,50K,35-39,Reyna Isela RIVERA CARRILLO,06:07:50
Nakawé,50K,35-39,Carlos LEITON,07:28:06
Nakawé,50K,35-39,José ALTAMIRANO MORALES,07:42:44
Nakawé,50K,40-44,Joren TITUS,05:20:40
Nakawé,50K,40-44,Emerson TRUJILLO FLORES,05:25:54
Nakawé,50K,40-44,David CLARK,06:07:19
Nakawé,50K,40-44,Greg CRUICKSHANK,06:44:15
Nakawé,50K,40-44,René REYES,07:37:46
Nakawé,50K,40-44,Ricardo GAONA ROJAS,07:46:06
Nakawé,50K,45-49,Daniel CASTORENA BORJON,07:23:12
Nakawé,50K,45-49,Robert ACKART,07:50:24
Nakawé,50K,45-49,Mario Alberto JIMENEZ NAVA,07:58:48
Nakawé,50K,45-49,Eduardo VIDAURRAZAGA,08:09:54
Nakawé,50K,50-54,Kerrie WLAD,07:57:58
Nakawé,50K,50-54,Sergio OCHOA BARAJAS,07:58:48
Nakawé,50K,50-54,Jacobo MORENO-MORA,08:05:44
Nakawé,50K,50-54,Pete WALLSTROM,08:11:30
Nakawé,50K,55-59,Maria-Clara SERINO,09:21:10
Nakawé,50K,60-64,Efren VALE CUEN,09:22:37
Nakawé,50K,65-69,Florencio Arturo PORTILLO PONCE,09:45:48
Nakawé,50K,U20,Eleuterio PARRA HERRERA,06:49:58
