race_name,race_category,age_category,runner_name,time,overall_rank,category_rank
Hikuri,100K,35-39,Alan Michell DAVALOS SANCHEZ,21:56:56,149,32
Hikuri,100K,40-44,Julián VINASCO MARIN,10:10:29,1,1
Hikuri,100K,40-44,Jerónimo REYES CEDILLO,12:32:50,13,2
Hikuri,100K,40-44,Ryan LAKHRAM,13:40:40,16,3
Hikuri,100K,40-44,Anonymous __anon_124,14:03:07,21,4
Hikuri,100K,40-44,Elías ESQUIVEL-MORENO,14:06:40,22,5
Hikuri,100K,40-44,Carlos Francisco SANCHEZ RAMIREZ,14:20:22,28,6
Hikuri,100K,40-44,Davian-Alejandro SANTOS-MORENO,14:23:25,29,7
Hikuri,100K,40-44,Sandra YAGUE,14:27:40,30,8
Hikuri,100K,40-44,Andrew CASSANO,14:38:51,32,9
Hikuri,100K,40-44,Rodrigo LADERA BURRERO,14:45:26,34,10
Hikuri,100K,40-44,Francisco VAZQUEZ PAREDES,15:02:45,37,11
Hikuri,100K,40-44,Michail ZYGOMANIS,15:08:27,40,12
Hikuri,100K,40-44,Alejandro FERIA,15:21:12,42,13
Hikuri,100K,40-44,Daniela NAVARRETE,16:50:39,62,14
Hikuri,100K,40-44,Jonathan BOLDUC,17:33:16,68,15
Hikuri,100K,40-44,Cristóbal ROJAS,17:36:29,69,16
Hikuri,100K,40-44,Noelia POLI,17:53:48,74,17
Hikuri,100K,40-44,Timothy MATTHEWS,18:55:40,92,18
Hikuri,100K,40-44,Otto SCHULZE,19:06:53,94,19
Hikuri,100K,40-44,Consuelo BARRIOS,19:08:26,95,20
Hikuri,100K,40-44,Rodrigo MEDINA RAMIREZ,19:16:05,97,21
Hikuri,100K,40-44,Veronica FLORES,19:22:56,98,22
Hikuri,100K,40-44,Luis GARCIA,19:42:13,99,23
Hikuri,100K,40-44,Cruz Javier MARTINEZ VILLASENOR,19:45:52,100,24
Hikuri,100K,40-44,Anonymous __anon_206,19:55:05,103,25
Hikuri,100K,40-44,Daniel NEWTON,20:02:13,104,26
Hikuri,100K,40-44,Fernando Doroteo VAZQUEZ PAREDES,20:09:33,107,27
Hikuri,100K,40-44,Liliana SOTO GOMEZ,20:17:06,112,28
Hikuri,100K,40-44,Arturo CUICAS,20:24:57,114,29
Hikuri,100K,40-44,Eulalio TRONCOSO VALLEJO,20:35:05,115,30
Hikuri,100K,40-44,Raul CISNEROS COBOS,20:53:05,120,31
Hikuri,100K,40-44,Andrés MARCIAL RODRÍGUEZ,21:03:11,126,32
Hikuri,100K,40-44,Niks JAUNZEMS,21:13:20,128,33
Hikuri,100K,40-44,Leslie LOGWOOD,21:22:25,133,34
Hikuri,100K,40-44,Claudia GUERRERO BARRERA,21:22:25,133,34
Hikuri,100K,40-44,Ana Elizabeth TLAPANCO LIMON,21:40:55,139,36
Hikuri,100K,40-44,Ignacio PEREZ,21:44:12,143,37
Hikuri,100K,40-44,María Guadalupe LECONA,21:51:44,146,38
Hikuri,100K,45-49,Jason SCHLARB,10:56:50,5,1
Hikuri,100K,45-49,Marcelo RAMIREZ PALMA,14:17:54,26,2
Hikuri,100K,45-49,Jose Manuel GARCIA VALENZUELA,15:04:02,38,3
Hikuri,100K,45-49,Adolfo VAZQUEZ VELASCO,16:03:25,48,4
Hikuri,100K,45-49,Fabian DOBLES SOLANO,17:01:43,64,5
Hikuri,100K,45-49,Griselda AGOSTINI,17:53:48,74,6
Hikuri,100K,45-49,Sandra Rosa MACIAS,18:13:47,81,7
Hikuri,100K,45-49,Alejandro ROMO,20:14:06,110,8
Hikuri,100K,45-49,José Antonio LOPEZ,20:38:03,118,9
Hikuri,100K,45-49,Jun LEAL YANOME,20:58:57,124,10
Hikuri,100K,45-49,Roberto NAVARRO PONS,21:41:00,140,11
Hikuri,100K,45-49,Jaime NAVARRO,21:43:58,141,12
Hikuri,100K,45-49,Tony JUAREZ,21:56:53,148,13
Hikuri,100K,45-49,Ana Aurelia ORTIZ FUENTES,23:51:17,152,14
Hikuri,100K,50-54,Miguel Natividad RAMOS HERNANDEZ,13:47:49,19,1
Hikuri,100K,50-54,Esteban MARTINEZ,16:25:22,54,2
Hikuri,100K,50-54,Jairo Ernesto GARZON FORERO,17:43:42,72,3
Hikuri,100K,50-54,Daniel PEREZ,17:55:47,76,4
Hikuri,100K,50-54,Willibaldo RUIZ LUNA,18:22:15,85,5
Hikuri,100K,50-54,Alejandro DIEZ,18:31:22,86,6
Hikuri,100K,50-54,Richard SMITH,19:08:57,96,7
Hikuri,100K,50-54,Anonymous __anon_204,19:53:39,101,8
Hikuri,100K,50-54,Adela AVILA,21:21:28,132,9
Hikuri,100K,50-54,Juan Pablo MERLA SALAZAR,21:53:57,147,10
Hikuri,100K,50-54,Griselda Fabiana CLEMENTI,22:50:41,150,11
Hikuri,100K,55-59,Kimball GALBRAITH,17:27:49,67,1
Hikuri,100K,55-59,Constance GARRO,21:35:54,138,2
Hikuri,100K,55-59,Valeria ZARWANITZER,21:44:43,145,3
Hikuri,100K,60-64,Gabriel JURI,20:35:39,116,1
Hikuri,100K,60-64,Manuel PEREZ,20:56:12,121,2
Hikuri,100K,60-64,Kent BLOBAUM,21:35:53,137,3
Wixárika,100M,20-34,Samuel COLLINS,17:20:21,2,1
Wixárika,100M,20-34,Steven DOLL,18:57:46,3,2
Wixárika,100M,20-34,Edson Scorpion CHAVEZ,20:53:30,4,3
Wixárika,100M,20-34,Alyssa CLARK,21:38:51,5,4
Wixárika,100M,20-34,Marc-Antoine FORAND,21:51:55,6,5
Wixárika,100M,20-34,Esteban Alejandro MARIN TORRES,22:40:00,8,6
Wixárika,100M,20-34,Julius VAINAUSKAS,22:50:33,9,7
Wixárika,100M,20-34,Kelsey HOGAN,23:29:41,10,8
Wixárika,100M,20-34,Jonathan RUDOLPH,23:55:46,11,9
Wixárika,100M,20-34,Gabriel PETRIDIS DEROSSI,26:09:40,17,10
Wixárika,100M,20-34,Simon CHIFFOLEAU,26:20:15,18,11
Wixárika,100M,20-34,Mauricio COLORADO TAMEZ,27:33:39,20,12
Wixárika,100M,20-34,Marcelo COLORADO TAMEZ,27:40:50,22,13
Wixárika,100M,20-34,Julio César GUZMÁN RAMOS,27:59:24,24,14
Wixárika,100M,20-34,Dorian CADART,28:51:13,27,15
Wixárika,100M,20-34,Jaime DURON,30:50:45,33,16
Wixárika,100M,20-34,Jafet MONTE,30:50:46,34,17
Wixárika,100M,20-34,Ricardo RODRIGUEZ,31:17:17,36,18
Wixárika,100M,20-34,Martin EIKEL,31:19:18,37,19
Wixárika,100M,20-34,Federico BOHMER,31:20:35,38,20
Wixárika,100M,20-34,Adrian RAMIREZ,31:47:26,43,21
Wixárika,100M,20-34,Pedro SEGUNDO CRUZ,31:59:45,44,22
Wixárika,100M,20-34,Tito CUETO,32:21:19,48,23
Wixárika,100M,20-34,Roberto MARTINEZ,33:58:19,52,24
Wixárika,100M,20-34,Angel CERVANTES ARELLANO,34:27:40,58,25
Wixárika,100M,20-34,Pedro HERNANDEZ HERNANDEZ,34:30:19,59,26
Wixárika,100M,20-34,Jeronimo CORTINA,34:36:39,61,27
Wixárika,100M,20-34,Alonso DÁVILA,35:21:59,70,28
Wixárika,100M,20-34,Charline VILCHIS,35:46:33,73,29
Wixárika,100M,20-34,Amado LOPEZ,36:42:48,76,30
Wixárika,100M,35-39,Salvador CASTILLO RODRIGUEZ,25:22:54,14,1
Wixárika,100M,35-39,Noe JASSO INIGUEZ,27:31:04,19,2
Wixárika,100M,35-39,Omar Jesus MENDOZA NUÑO,29:15:58,28,3
Wixárika,100M,35-39,Marcela Evelyn ARIAS GAETA,29:17:39,29,4
Wixárika,100M,35-39,Ricardo BADILLO,30:23:24,31,5
Wixárika,100M,35-39,Diego POLINO,32:02:05,45,6
Wixárika,100M,35-39,Jonathan DAWSON,32:03:18,46,7
Wixárika,100M,35-39,Holly GRAHN,32:29:19,49,8
Wixárika,100M,35-39,Diego Mauricio RAZO CORDERO,34:08:00,54,9
Wixárika,100M,35-39,Jorge UREÑA,34:43:32,64,10
Wixárika,100M,35-39,Gabriel MEJIAS CORTES,34:53:06,67,11
Wixárika,100M,35-39,Mario Eduardo BARRANCO STUBBERT,36:28:07,75,12
Wixárika,100M,40-44,Remigio HUAMAN QUISPE,16:20:20,1,1
Wixárika,100M,40-44,Jonathan GONZALEZ,24:49:35,13,2
Wixárika,100M,40-44,Abrahan VILLANUEVA,27:38:47,21,3
Wixárika,100M,40-44,Alfredo PLASCENCIA CASILLAS,28:14:46,25,4
Wixárika,100M,40-44,Andres REYES DIAZ,30:42:36,32,5
Wixárika,100M,40-44,Miguel CAMARENA PÉREZ,31:33:39,40,6
Wixárika,100M,40-44,Jose Manuel RIVERA DIAZ,31:46:27,42,7
Wixárika,100M,40-44,Indira SALAS VELASCO,32:45:35,50,8
Wixárika,100M,40-44,María Guadalupe RAMÍREZ,34:21:34,56,9
Wixárika,100M,40-44,Anne MAXWELL,34:38:01,63,10
Wixárika,100M,40-44,Hugo HAAS,34:49:24,66,11
Wixárika,100M,40-44,Claudia Marcela SÁNCHEZ GARCÍA,34:53:38,68,12
Wixárika,100M,40-44,Gregg CARLSON,35:30:57,71,13
Wixárika,100M,40-44,Samuel GRODOFSKY,35:45:53,72,14
Wixárika,100M,40-44,Oscar REBOLLEDO,35:46:34,74,15
Wixárika,100M,45-49,Hector FUENTES RIVERA,22:35:31,7,1
Wixárika,100M,45-49,Thibaut REVENAZ,24:07:15,12,2
Wixárika,100M,45-49,Marisol ARTEAGA SERRANO,27:49:56,23,3
Wixárika,100M,45-49,Jimmy LOPEZ,28:45:15,26,4
Wixárika,100M,45-49,Pneruda CESPEDES MORA,29:22:24,30,5
Wixárika,100M,45-49,Victor Hugo HERNANDEZ VIRGEN,31:42:04,41,6
Wixárika,100M,45-49,Huanyuan SHENG,32:17:43,47,7
Wixárika,100M,45-49,Eduardo-Antonio ALFARO-REYES,34:26:23,57,8
Wixárika,100M,50-54,Robert CLEMENS,25:51:16,15,1
Wixárika,100M,50-54,Cristian GIACONI,31:33:37,39,2
Wixárika,100M,50-54,Erick GARCIA ROBLES,33:33:55,51,3
Wixárika,100M,50-54,Jose COB,34:07:41,53,4
Wixárika,100M,50-54,J. Guadalupe PEDROZA FALCON,34:34:46,60,5
Wixárika,100M,50-54,Horacio GALANTI,34:43:54,65,6
Wixárika,100M,50-54,Milton GONZALEZ,35:06:59,69,7
Wixárika,100M,55-59,Miguel CARREON,34:21:17,55,1
Wixárika,100M,60-64,Todd NOTT,26:05:15,16,1
Wixárika,100M,60-64,Carlos A. TRUJILLO,31:03:15,35,2
Wixárika,100M,60-64,Ramon RODRIGUEZ CAMACHO,34:37:19,62,3
Pata Salada,10K,20-34,Emilia MARTÍNEZ MENDIVIL,01:00:10,2,1
Pata Salada,10K,20-34,Esteban GONZALEZ JIMENEZ,01:00:29,4,2
Pata Salada,10K,20-34,Luis Ricardo ACOSTA AGUILAR,01:00:48,5,3
Pata Salada,10K,20-34,Carlos ROSAS,01:03:32,6,4
Pata Salada,10K,20-34,Alison PONCE,01:08:27,9,5
Pata Salada,10K,20-34,Armando José BECERRA ARECHIGA,01:12:23,11,6
Pata Salada,10K,20-34,Ana Paola FUENTES MARTINEZ,01:18:47,13,7
Pata Salada,10K,20-34,Luis Enrique RIVERA CAMPA,01:22:55,17,8
Pata Salada,10K,20-34,Christian BUCIO MAGDALENO,01:28:34,19,9
Pata Salada,10K,20-34,Perla CASTILLO,01:36:37,24,10
Pata Salada,10K,20-34,Itzel YANEZ,01:40:45,36,11
Pata Salada,10K,20-34,Kory MARKEL,01:41:54,38,12
Pata Salada,10K,20-34,Paula MARKEL,01:41:54,38,12
Pata Salada,10K,20-34,Sara Stephanie ORTEGA ESPINOZA,01:42:58,43,14
