general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,01:39:58,José Antonio,CHAVEZ CEJA,Mexico,Men,Ereno,20K
2,01:40:16,Jose,OCHOA,Mexico,Men,Ereno,20K
3,01:40:47,Hugo Adrian,CASTILLO ESTRADA,Mexico,Men,Ereno,20K
4,01:40:48,Ashley,BRASOVAN,United States of America,Women,Ereno,20K
5,01:42:42,Anonymous,__anon_946,Mexico,Men,Ereno,20K
6,01:43:05,María Magdalena,BARBA LAZARO,Mexico,Women,Ereno,20K
7,01:43:37,Ricardo,MEJIA HERNANDEZ,Mexico,Men,Ereno,20K
8,01:50:20,Kristian,ANDRES,Canada,Men,Ereno,20K
9,02:02:56,José Antonio,DE PABLO,Spain,Men,Ereno,20K
9,02:02:56,Roberto,VILLAFAÑA RODRÍGUEZ,Mexico,Men,Ereno,20K
