general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,05:20:40,Joren,TITUS,Canada,Men,Nakawé,50K
2,05:25:54,Sara,ALONSO,Spain,Women,Nakawé,50K
2,05:25:54,Emerson,TRUJILLO FLORES,Peru,Men,Nakawé,50K
4,05:26:18,David,NORRIS,United States of America,Men,Nakawé,50K
5,05:27:31,Juan Carlos,CARERA CASAS,Mexico,Men,Nakawé,50K
6,05:29:44,Nicolas,PALACIOS,Chile,Men,Nakawé,50K
7,05:40:23,Christopher,LEVESQUE-SAVARD,Canada,Men,Nakawé,50K
8,05:45:05,Roberto Carlos,VARGAS VIDAURRI,Mexico,Men,Nakawé,50K
9,06:06:51,Javier,JANEIRO CERDEIRA,Mexico,Men,Nakawé,50K
10,06:07:19,David,CLARK,United States of America,Men,Nakawé,50K
