general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
2,01:00:10,Emilia,MARTÍNEZ MENDIVIL,Mexico,Women,Pata Salada,10K
9,01:08:27,Alison,PONCE,United States of America,Women,Pata Salada,10K
13,01:18:47,Ana Paola,FUENTES MARTINEZ,Mexico,Women,Pata Salada,10K
15,01:21:45,Otilia,HERNANDEZ HERNANDEZ,Mexico,Women,Pata Salada,10K
18,01:24:28,Ruth,VILLASENOR,Mexico,Women,Pata Salada,10K
23,01:32:45,Sharik Mariana,RAYA ROJAS,Mexico,Women,Pata Salada,10K
24,01:36:37,Perla,CASTILLO,Mexico,Women,Pata Salada,10K
27,01:38:17,Elizabeth,OJEDA JIMENEZ,Mexico,Women,Pata Salada,10K
28,01:38:51,Ma Guadalupe,TIERRAFRIA,Mexico,Women,Pata Salada,10K
29,01:39:17,Paulina,DIAZ,Mexico,Women,Pata Salada,10K
