general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
2,05:25:54,Sara,ALONSO,Spain,Women,Nakawé,50K
11,06:07:50,Reyna Isela,RIVERA CARRILLO,Mexico,Women,Nakawé,50K
16,06:30:02,Phoebe,CROSTHWAITE,United Kingdom,Women,Nakawé,50K
23,07:09:20,María Guadalupe,FREGOSO NIEVES,Mexico,Women,Nakawé,50K
26,07:18:05,Haily,VALLES,Costa Rica,Women,Nakawé,50K
42,07:51:16,Lina,CHINCHILLA,Colombia,Women,Nakawé,50K
46,07:57:58,Kerrie,WLAD,Canada,Women,Nakawé,50K
54,08:05:32,Karla,PICARD,Mexico,Women,Nakawé,50K
55,08:05:40,Hannah,VARGAS,Mexico,Women,Nakawé,50K
65,08:21:11,Gloria,RAMOS CASTILLO,Mexico,Women,Nakawé,50K
