general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
8,11:53:51,Arden,YOUNG,Canada,Women,Hikuri,100K
18,13:47:20,Amber,HOULE,Canada,Women,Hikuri,100K
20,14:00:25,Alexa,ROMANO,United States of America,Women,Hikuri,100K
30,14:27:40,Sandra,YAGUE,Spain,Women,Hikuri,100K
41,15:09:06,Marisol,FRANCO ACEVEDO,Mexico,Women,Hikuri,100K
56,16:36:32,Jodine,COE,United States of America,Women,Hikuri,100K
60,16:49:52,Lucero Abigaith,GOMEZ ESPINDOLA,Mexico,Women,Hikuri,100K
62,16:50:39,Daniela,NAVARRETE,Chile,Women,Hikuri,100K
74,17:53:48,Griselda,AGOSTINI,Argentina,Women,Hikuri,100K
74,17:53:48,Noelia,POLI,Argentina,Women,Hikuri,100K
