general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
4,01:40:48,Ashley,BRASOVAN,United States of America,Women,Ereno,20K
6,01:43:05,María Magdalena,BARBA LAZARO,Mexico,Women,Ereno,20K
13,02:07:53,Giezi,CRUZ GONZALEZ,Mexico,Women,Ereno,20K
14,02:09:36,Greta,UNGER,United States of America,Women,Ereno,20K
20,02:15:53,Miranda,CASTILLO FERNANDEZ,Mexico,Women,Ereno,20K
21,02:15:56,Mariam Guadalupe,CABRERA,Mexico,Women,Ereno,20K
24,02:19:48,Maria Nataly,MARTINEZ FLORES,Mexico,Women,Ereno,20K
25,02:20:04,Marisol,GONZALEZ,Mexico,Women,Ereno,20K
26,02:20:27,Carmen,PALACIOS,Mexico,Women,Ereno,20K
34,02:26:17,Steffany,OROZCO MURGA,Mexico,Women,Ereno,20K
